year;total_members;total_human_members;female_members_pct;new_members;new_female_members_pct;new_female_members_payout_pct
1960;600;NA;NA;NA;NA;NA
2000;24647;NA;NA;NA;NA;NA
2007;32286;NA;NA;NA;NA;NA
2008;33462;NA;NA;NA;NA;NA
2009;34828;NA;NA;NA;NA;NA
2011;37000;NA;NA;NA;NA;NA
2012;38000;NA;NA;NA;NA;NA
2013;40000;NA;NA;NA;21;NA
2014;NA;NA;NA;NA;22;NA
2015;43381;NA;NA;NA;21;NA
2016;45000;NA;NA;NA;22;NA
2017;46000;NA;NA;NA;22;NA
2018;47503;NA;NA;NA;22;NA
2019;45860;44258;19,47;1714;24;15
2020;47255;45803;19,66;1629;25;17
2021;48799;49568;19,91;1547;28;20
2022;50117;47940;20,11;1541;27;21
2023;51323;49323;20,33;1458;27;24
